TimeStart,TF,Open,High,Low,Close,Volume
2025-05-16 08:50:00,Min5,102942,103914,102940,103314,0.0056
2025-05-16 08:55:00,Min5,103337,103940,103036,103526,0.0051
2025-05-16 09:00:00,Min5,103517,103876,102967,103144,0.0080
2025-05-16 09:05:00,Min5,103730,104133,103432,104133,0.0034
2025-05-16 09:10:00,Min5,103828,104132,103193,103353,0.0052
2025-05-16 09:15:00,Min5,103207,104096,103075,103740,0.0176
2025-05-16 09:20:00,Min5,103274,104199,103204,104199,0.0065
2025-05-16 09:25:00,Min5,103272,104143,103266,103446,0.0029
2025-05-16 09:30:00,Min5,104152,104212,103335,104212,0.0089
2025-05-16 09:35:00,Min5,103294,104165,103228,104119,0.0095
2025-05-16 09:40:00,Min5,103986,104051,103203,103588,0.0054
2025-05-16 09:45:00,Min5,104146,104228,103225,103225,0.0047
2025-05-16 09:50:00,Min5,103833,104202,103255,104054,0.0034
2025-05-16 09:55:00,Min5,103745,104286,103414,104088,0.0042
2025-05-16 10:00:00,Min5,103568,104220,103361,103964,0.0029
2025-05-16 10:05:00,Min5,103305,104245,103150,104110,0.0075
2025-05-16 10:10:00,Min5,103764,104278,103389,103522,0.0026
2025-05-16 10:15:00,Min5,103860,104126,103323,103485,0.0073
2025-05-16 10:20:00,Min5,103965,104262,103257,103257,0.0061
2025-05-16 10:25:00,Min5,103960,104237,103496,104196,0.0086
2025-05-16 10:30:00,Min5,103765,104219,103368,103757,0.0029
2025-05-16 10:35:00,Min5,104120,104154,103469,103944,0.0058
2025-05-16 10:40:00,Min5,104042,104155,103710,103958,0.0049
2025-05-16 10:45:00,Min5,103561,104315,103315,104226,0.0182
2025-05-16 10:50:00,Min5,103812,104221,103629,104220,0.0023
2025-05-16 10:55:00,Min5,104196,104284,103330,103330,0.0041
2025-05-16 11:00:00,Min5,104011,104333,103322,104333,0.0065
2025-05-16 11:05:00,Min5,104201,104201,103343,103968,0.0094
2025-05-16 11:10:00,Min5,103402,104295,103342,103914,0.0029
2025-05-16 11:15:00,Min5,103921,104314,103424,103424,0.0117
2025-05-16 11:20:00,Min5,103535,104393,103351,103351,0.0027
2025-05-16 11:25:00,Min5,104111,104111,103138,103276,0.0045
2025-05-16 11:30:00,Min5,103509,104156,103150,103629,0.0054
2025-05-16 11:35:00,Min5,103768,104146,103200,104070,0.0051
2025-05-16 11:40:00,Min5,103781,104101,103142,103529,0.0062
2025-05-16 11:45:00,Min5,103924,104019,103194,103824,0.0048
2025-05-16 11:50:00,Min5,103812,104156,103247,103532,0.0053
2025-05-16 11:55:00,Min5,103906,103982,103351,103899,0.0047
2025-05-16 12:00:00,Min5,103186,104048,103154,103185,0.0046
2025-05-16 12:05:00,Min5,103955,104237,103278,103891,0.0083
2025-05-16 12:10:00,Min5,103253,104131,103198,103424,0.0055
2025-05-16 12:15:00,Min5,103323,104144,103239,103967,0.0020
2025-05-16 12:20:00,Min5,103328,104170,103144,104071,0.0032
2025-05-16 12:25:00,Min5,104052,104052,103289,103693,0.0047
2025-05-16 12:30:00,Min5,103173,104038,103132,103738,0.0113
2025-05-16 12:35:00,Min5,103829,104133,103201,103684,0.0152
2025-05-16 12:40:00,Min5,103525,104084,103255,103446,0.0093
2025-05-16 12:45:00,Min5,103467,104073,103255,103549,0.0041
2025-05-16 12:50:00,Min5,104001,104001,103070,103070,0.0014
2025-05-16 12:55:00,Min5,103983,103983,103013,103267,0.0037
2025-05-16 13:00:00,Min5,103552,103999,103050,103370,0.0041
2025-05-16 13:05:00,Min5,103486,104102,103138,103962,0.0092
2025-05-16 13:10:00,Min5,103778,103963,103197,103380,0.0081
2025-05-16 13:15:00,Min5,103158,103929,103158,103901,0.0132
2025-05-16 13:20:00,Min5,103856,104104,103125,103690,0.0106
2025-05-16 13:25:00,Min5,103224,104008,103004,103943,0.0051
2025-05-16 13:30:00,Min5,103989,103989,103052,103782,0.0159
2025-05-16 13:35:00,Min5,103529,104378,103412,104040,0.0076
2025-05-16 13:40:00,Min5,104135,104281,103293,103825,0.0027
2025-05-16 13:45:00,Min5,103586,104206,103290,103373,0.0075
2025-05-16 13:50:00,Min5,103505,104289,103414,103414,0.0120
2025-05-16 13:55:00,Min5,103530,104607,103491,104263,0.0063
2025-05-16 14:00:00,Min5,103338,103829,103335,103341,0.0018
2025-05-16 14:05:00,Min5,104095,104095,103247,103425,0.0079
2025-05-16 14:10:00,Min5,104165,104165,103153,103598,0.0054
2025-05-16 14:15:00,Min5,103534,104210,103362,103876,0.0100
2025-05-16 14:20:00,Min5,104178,104398,103361,104368,0.0044
2025-05-16 14:25:00,Min5,104137,104287,103527,103675,0.0064
2025-05-16 14:30:00,Min5,103671,104131,103393,103393,0.0019
2025-05-16 14:35:00,Min5,103473,104103,103301,104103,0.0022
2025-05-16 14:40:00,Min5,103729,103784,102924,103640,0.0087
2025-05-16 14:45:00,Min5,103470,104055,102924,103065,0.0073
2025-05-16 14:50:00,Min5,103566,104056,103143,103143,0.0034
2025-05-16 14:55:00,Min5,103106,104041,103081,103622,0.0055
